Destination,Duration(days),Travelerage,Travelergender,Travelernationality,Accommodationtype,Accommodationcost,Transportationtype,Transportationcost
"Vancouver, Canada",13,25.0,Male,Indonesian,Hotel,800,Plane,20
"Cape Town, SA",8,27.0,Male,Vietnamese,Hotel,1000,Airplane,1500
Tokyo,8,29.0,Male,British,Resort,3000,Plane,1000
Tokyo,10,45.0,Female,American,Airbnb,1000,Plane,500
"Bali, Indonesia",13,38.0,Male,British,Hotel,600,Car rental,300
Mexico,7,42.0,Female,Chinese,Hotel,1200,Plane,400
London,8,33.0,Male,Hong Kong,Hotel,1000,Plane,600
"Bali, Indonesia",7,29.0,Female,Italian,Vacation rental,500,Plane,150
"Rome, Italy",8,33.0,Female,Australian,Airbnb,1500,Train,50
"Barcelona, Spain",7,39.0,Male,American,Airbnb,1000,Plane,400
Bali,7,27.0,Female,Brazilian,Airbnb,500,Train,1500
"Tokyo, Japan",13,24.0,Female,Brazilian,Airbnb,1000,Car,500
"Tokyo, Japan",13,37.0,Male,Mexican,Hotel,800,Airplane,150
Thailand,12,28.0,Female,South African,Airbnb,1200,Plane,2000
"New York City, USA",7,29.0,Male,Emirati,Villa,300,Train,700
New York,13,45.0,Female,Korean,Hostel,800,Plane,300
"Athens, Greece",8,32.0,Male,Brazilian,Hotel,1200,Car rental,1000
"London, UK",11,33.0,Male,Cambodia,Guesthouse,1100,Flight,2500
Rome,7,41.0,Female,South Korea,Hotel,900,Ferry,400
"Cancun, Mexico",8,25.0,Male,Indonesian,Hostel,600,Plane,150
Tokyo,12,31.0,Female,Australian,Hotel,1200,Bus,400
Bali,13,25.0,Male,Greece,Hostel,500,Flight,3000
"Rio de Janeiro, Brazil",10,27.0,Male,United Kingdom,Riad,1200,Plane,800
Dubai,8,39.0,Male,Korean,Hotel,3000,Car rental,250
Sydney,13,45.0,Male,Cambodia,Hotel,900,Car,1200
"Edinburgh, Scotland",8,30.0,Male,Korean,Villa,1500,Train,300
New York,8,29.0,Male,Indian,Hostel,200,Plane,200
"New York City, USA",7,27.0,Male,British,Resort,2000,Plane,100
New York,13,33.0,Female,Korean,Hotel,1000,Train,500
Rome,8,35.0,Male,Korean,Airbnb,800,Plane,700
Dubai,6,30.0,Female,Indian,Hostel,300,Plane,300
"Cancun, Mexico",13,37.0,Male,Spanish,Hotel,1100,Flight,600
London,8,29.0,Male,Spanish,Hotel,1000,Car rental,700
"Tokyo, Japan",12,45.0,Male,British,Hotel,500,Ferry,600
"Cancun, Mexico",8,37.0,Male,Chinese,Hostel,600,Plane,900
Dubai,8,37.0,Male,Taiwanese,Hotel,800,Airplane,250
"Tokyo, Japan",7,29.0,Male,British,Airbnb,800,Train,500
Tokyo,13,38.0,Male,Korean,Hotel,800,Car rental,600
"Berlin, Germany",7,28.0,Male,British,Hotel,1200,Train,150
"Paris, France",11,42.0,Female,Emirati,Riad,800,Airplane,600
"Bali, Indonesia",7,38.0,Male,New Zealander,Hostel,1500,Plane,100
"Bali, Indonesia",11,35.0,Female,Italian,Airbnb,900,Plane,500
New York,14,20.0,Female,Chinese,Hostel,3000,Flight,400
"Seoul, South Korea",8,42.0,Female,Italian,Hotel,800,Plane,400
Bali,7,24.0,Male,Australian,Hotel,1000,Plane,20
"Bangkok, Thailand",8,29.0,Male,Canadian,Airbnb,2500,Car,50
"Marrakech, Morocco",7,39.0,Male,Korean,Hotel,1100,Plane,700
"Sydney, Australia",7,27.0,Male,Italian,Resort,200,Plane,1000
"Tokyo, Japan",7,31.0,Male,Italian,Hotel,2500,Plane,2000
Canada,11,27.0,Male,South Korean,Airbnb,700,Train,300
Sydney,8,27.0,Male,Korean,Hotel,800,Train,1000
Spain,8,45.0,Female,Canadian,Resort,1200,Car rental,500
"Paris, France",7,31.0,Female,Emirati,Airbnb,2500,Plane,2500
Sydney,11,25.0,Male,American,Hotel,1200,Plane,700
New York,7,41.0,Male,American,Airbnb,800,Plane,700
"Paris, France",12,43.0,Male,American,Airbnb,900,Plane,900
"Barcelona, Spain",11,30.0,Male,German,Resort,700,Train,1200
London,7,30.0,Female,South Korea,Resort,700,Car,800
"Los Angeles, USA",7,27.0,Male,Australian,Hotel,1400,Flight,700
"Sydney, AUS",7,45.0,Female,Italian,Hostel,180,Plane,1000
"Tokyo, Japan",13,42.0,Male,Indonesian,Hotel,1200,Train,700
"New York City, USA",11,38.0,Female,Indian,Airbnb,1500,Plane,3000
"Rio de Janeiro, Brazil",7,29.0,Female,Spanish,Hotel,1000,Plane,600
Phuket,10,29.0,Male,South African,Hotel,1200,Airplane,500
Mexico,11,45.0,Male,American,Vacation rental,6000,Plane,500
"Phuket, Thai",11,47.0,Male,Australian,Vacation rental,1200,Plane,500
Rio de Janeiro,13,35.0,Male,American,Hotel,700,Plane,1200
"Amsterdam, Netherlands",10,26.0,Female,South African,Hotel,500,Train,700
"New York, USA",8,28.0,Female,Spanish,Hotel,800,Plane,800
Paris,11,29.0,Female,American,Hotel,1500,Train,200
"New York City, USA",8,46.0,Male,American,Hostel,900,Flight,600
"Edinburgh, Scotland",11,29.0,Female,Indian,Vacation rental,500,Airplane,800
"Cancun, Mexico",8,38.0,Female,Spanish,Resort,800,Train,700
Dubai,8,47.0,Male,Korean,Resort,2500,Plane,500
"New York City, USA",8,60.0,Male,Italian,Hostel,1200,Plane,500
"Barcelona, Spain",7,26.0,Female,American,Resort,1400,Flight,300
"Edinburgh, Scotland",7,27.0,Male,Cambodia,Hostel,1300,Flight,500
"Bangkok, Thailand",11,26.0,Male,Korean,Hostel,800,Plane,100
Bali,14,39.0,Male,American,Resort,1200,Plane,900
"Tokyo, Japan",14,55.0,Male,Korean,Hostel,600,Plane,150
"London, UK",8,30.0,Male,United Kingdom,Resort,500,Train,200
"Auckland, New Zealand",8,28.0,Male,Canada,Villa,300,Plane,500
Rome,6,27.0,Female,South Korea,Resort,1000,Airplane,150
Paris,14,27.0,Female,Germany,Hotel,1200,Ferry,800
"New York City, USA",8,26.0,Female,Canadian,Hotel,350,Airplane,700
Paris,8,41.0,Male,Japanese,Vacation rental,1500,Train,2000
Sydney,7,42.0,Male,UK,Hotel,800,Plane,1000
"London, UK",8,30.0,Male,Moroccan,Resort,800,Flight,200
"Tokyo, Japan",11,29.0,Male,South Korean,Hostel,200,Car rental,200
Bangkok,6,27.0,Male,German,Airbnb,500,Plane,600
Cape Town,7,33.0,Male,Brazilian,Airbnb,2000,Train,50
"Amsterdam, Netherlands",13,39.0,Female,Korean,Hotel,1200,Train,150
"Bali, Indonesia",8,38.0,Male,British,Hostel,1200,Airplane,500
"Rio de Janeiro, Brazil",8,28.0,Male,American,Hotel,800,Train,3000
"Cape Town, SA",7,31.0,Male,Korean,Resort,7000,Plane,700
Greece,8,27.0,Male,South African,Resort,600,Plane,2000
"Bangkok, Thailand",7,33.0,Female,American,Hotel,400,Plane,50
"Rome, Italy",13,29.0,Male,South Korea,Hotel,1500,Train,300
Dubai,13,36.0,Female,Australian,Hostel,600,Plane,1200
London,7,38.0,Male,Korean,Hostel,1500,Plane,1200
Bali,7,28.0,Male,American,Hotel,1300,Train,1000
"New York City, USA",7,38.0,Male,Korean,Hotel,700,Plane,600
"Paris, France",10,42.0,Male,Australian,Hotel,300,Flight,200
Cape Town,8,37.0,Male,American,Hotel,600,Car rental,700
"London, UK",13,45.0,Female,American,Airbnb,600,Car,700
"Dubai, United Arab Emirates",7,37.0,Male,South African,Hostel,1500,Car rental,600
"Rome, Italy",7,28.0,Female,Moroccan,Hostel,600,Airplane,2000
France,8,31.0,Male,American,Hostel,400,Plane,700
Paris,8,42.0,Male,Greece,Resort,800,Plane,200
"Athens, Greece",7,31.0,Female,British,Hotel,800,Car rental,3000
"Rio de Janeiro, Brazil",12,28.0,Male,Taiwan,Hotel,800,Plane,500
Thailand,11,29.0,Male,Korean,Hotel,900,Train,2500
Bangkok,8,28.0,Female,Spanish,Hotel,300,Airplane,300
"Paris, France",7,42.0,Male,Vietnamese,Airbnb,900,Bus,800
"Rio de Janeiro, Brazil",7,55.0,Male,American,Villa,500,Plane,500
Australia,7,27.0,Female,British,Hotel,900,Plane,600
"Vancouver, Canada",11,45.0,Male,Dutch,Hotel,1000,Plane,1000
Rome,12,31.0,Male,USA,Hostel,600,Plane,100
"Rome, Italy",8,24.0,Male,Australian,Airbnb,400,Plane,200
"Edinburgh, Scotland",8,27.0,Male,American,Hotel,1000,Plane,2000
Bali,8,28.0,Male,American,Hotel,1200,Plane,150
Barcelona,8,41.0,Male,Cambodia,Hotel,1200,Train,300
"Rome, Italy",10,25.0,Male,Korean,Hostel,1000,Car,100
"Marrakech, Morocco",7,45.0,Female,Brazilian,Resort,500,Bus,200
"Honolulu, Hawaii",7,27.0,Female,Indian,Resort,800,Car rental,800
"Paris, France",13,42.0,Female,American,Airbnb,1100,Airplane,300
"Rio de Janeiro, Brazil",12,24.0,Female,Hong Kong,Airbnb,180,Flight,800
"Cancun, Mexico",8,33.0,Female,Brazilian,Villa,600,Plane,900
London,13,27.0,Female,British,Hotel,200,Train,1200
Tokyo,7,25.0,Male,UK,Hotel,1100,Train,150
New York,7,38.0,Female,American,Hostel,1200,Train,400
"Cancun, Mexico",10,30.0,Male,Indian,Hotel,5000,Bus,600
Cape Town,7,45.0,Male,South African,Hostel,900,Plane,700
"Rio de Janeiro, Brazil",13,29.0,Male,Vietnamese,Resort,900,Flight,2500
"Auckland, New Zealand",13,24.0,Male,Canadian,Hotel,400,Train,300
"New York, USA",12,28.0,Female,Korean,Hotel,2000,Plane,600
"Honolulu, Hawaii",11,38.0,Male,Hong Kong,Guesthouse,1000,Train,200
"Sydney, Aus",8,30.0,Male,American,Hotel,1500,Flight,800
"Sydney, Australia",7,25.0,Female,Emirati,Resort,700,Ferry,900
Bali,7,37.0,Male,American,Hotel,1400,Train,1200
Bangkok,7,35.0,Female,Australian,Hotel,1300,Plane,700
Bangkok,11,31.0,Female,Dutch,Hostel,900,Train,500
"Bangkok, Thai",7,39.0,Male,American,Guesthouse,800,Plane,75
Bali,9,45.0,Male,German,Riad,1000,Plane,700
Japan,8,27.0,Female,British,Hostel,600,Train,700
Bangkok,8,32.0,Male,Mexican,Hotel,1000,Train,75
"Rome, Italy",10,30.0,Male,Australian,Hotel,600,Train,500
Tokyo,7,35.0,Male,Scottish,Hotel,150,Flight,200
"Rio de Janeiro, Brazil",7,31.0,Male,Korean,Airbnb,1000,Plane,800
"Athens, Greece",8,29.0,Male,Brazilian,Hostel,300,Plane,150
"Bangkok, Thailand",8,32.0,Female,United Arab Emirates,Hotel,1100,Train,2500
Amsterdam,13,31.0,Male,Japanese,Airbnb,1400,Plane,800
Cape Town,9,29.0,Female,American,Villa,400,Car rental,100
"Cape Town, SA",11,35.0,Female,South African,Guesthouse,1500,Plane,400
"Rome, Italy",7,27.0,Female,American,Hotel,400,Train,80
Rome,8,33.0,Male,United Arab Emirates,Hostel,7000,Train,200
"Cancun, Mexico",8,29.0,Male,American,Airbnb,400,Train,100
"Paris, France",11,42.0,Male,American,Hotel,1200,Train,200
Rome,10,27.0,Male,British,Resort,400,Plane,100
Barcelona,12,28.0,Female,Korean,Resort,800,Bus,700
"Paris, France",7,27.0,Female,South African,Hostel,1000,Car,700
Barcelona,8,37.0,Male,South Korean,Airbnb,1100,Car rental,500
"Vancouver, Canada",7,25.0,Female,British,Hotel,1400,Plane,75
"Paris, France",12,32.0,Female,German,Hostel,1300,Train,400
Bali,14,28.0,Female,American,Villa,600,Car rental,400
"Vancouver, Canada",8,42.0,Female,Korean,Hostel,700,Train,200
"Seoul, South Korea",7,20.0,Female,Chinese,Hostel,700,Airplane,2500
"Paris, France",11,33.0,Female,Taiwanese,Airbnb,1500,Airplane,700
"Barcelona, Spain",12,38.0,Female,Korean,Resort,6000,Train,75
"Rio de Janeiro, Brazil",13,24.0,Female,American,Resort,800,Car rental,150
"Sydney, Aus",8,27.0,Female,Italian,Hostel,1400,Airplane,800
"Rio de Janeiro, Brazil",7,45.0,Female,Canadian,Hotel,400,Plane,400
"Cancun, Mexico",12,33.0,Female,Indian,Airbnb,1000,Plane,200
"Amsterdam, Netherlands",12,37.0,Male,British,Hotel,400,Car rental,700
Paris,7,32.0,Male,Greece,Resort,800,Car rental,700
Bali,7,33.0,Female,South African,Hotel,2000,Car rental,1200
"New York, USA",11,27.0,Female,American,Airbnb,700,Flight,400
Bangkok,7,37.0,Female,Germany,Airbnb,900,Flight,900
"London, UK",8,45.0,Male,American,Hostel,1300,Bus,400
Tokyo,8,45.0,Male,American,Hotel,2000,Plane,400
"Tokyo, Japan",13,29.0,Male,American,Hotel,900,Car rental,3000
Rome,12,30.0,Male,Italian,Hostel,3000,Train,150
Sydney,13,45.0,Female,Spanish,Hotel,1400,Airplane,700
"Barcelona, Spain",8,41.0,Female,British,Hostel,600,Plane,500
"Rome, Italy",8,35.0,Female,Australian,Airbnb,600,Train,1200
Australia,11,37.0,Female,Italy,Hotel,600,Plane,50
"Rome, Italy",10,26.0,Male,British,Resort,700,Train,1200
"Cancun, Mexico",7,38.0,Female,New Zealander,Hostel,300,Train,1500
Hawaii,7,26.0,Female,Korean,Hostel,2200,Train,1000
"Athens, Greece",7,39.0,Female,Singapore,Airbnb,800,Car,900
Rome,12,37.0,Male,Canadian,Hostel,1500,Car rental,300
Rome,8,38.0,Male,New Zealander,Hotel,900,Plane,2000
"Rio de Janeiro, Brazil",8,31.0,Female,American,Resort,200,Flight,600
London,7,35.0,Female,American,Hostel,1000,Plane,300
Tokyo,13,35.0,Female,British,Hotel,900,Train,200
"Sydney, Australia",10,32.0,Female,Italian,Hotel,1000,Plane,1000
"Rome, Italy",7,26.0,Female,Japanese,Hotel,900,Car rental,350
"Edinburgh, Scotland",8,27.0,Male,Germany,Hotel,1200,Plane,800
Sydney,11,45.0,Female,American,Hotel,1400,Car rental,2000
Bali,8,35.0,Male,Korean,Hostel,600,Train,150
Bangkok,10,42.0,Female,British,Airbnb,1500,Train,250
"Rio de Janeiro, Brazil",8,26.0,Male,Japan,Airbnb,5000,Train,700
Tokyo,8,33.0,Female,Korean,Airbnb,1000,Train,1500
Tokyo,8,31.0,Male,Spanish,Villa,1200,Car rental,700
Bangkok,10,24.0,Male,Canadian,Airbnb,700,Plane,800
"Phuket, Thailand",7,23.0,Male,Japan,Hotel,500,Car rental,800
Rome,14,39.0,Male,American,Hostel,800,Train,120
"Bangkok, Thailand",14,36.0,Female,Korean,Airbnb,500,Flight,700
"Barcelona, Spain",9,28.0,Male,Canadian,Hotel,900,Car rental,500
"Dubai, United Arab Emirates",10,27.0,Male,Australian,Hotel,6000,Plane,700
Paris,7,27.0,Male,British,Hostel,1200,Plane,700
"Berlin, Germany",10,32.0,Male,Canadian,Hotel,1000,Plane,2500
Hawaii,8,31.0,Male,Korean,Airbnb,1200,Flight,100
Tokyo,8,30.0,Female,Spanish,Hotel,400,Car rental,120
Mexico,10,31.0,Male,South African,Hotel,1000,Car,700
Bangkok,8,26.0,Male,American,Resort,500,Car rental,700
Bali,13,25.0,Male,Japan,Resort,900,Train,700
"Cancun, Mexico",8,30.0,Female,Chinese,Resort,500,Train,600
New York,9,29.0,Female,British,Hotel,2000,Plane,500
Greece,7,37.0,Male,Australian,Hotel,900,Airplane,1000
Bangkok,7,27.0,Male,Italian,Hostel,1400,Plane,100
"Berlin, Germany",11,35.0,Male,American,Hostel,700,Train,1200
"Cape Town, South Africa",7,33.0,Female,Indian,Hotel,700,Plane,700
"New York, USA",10,38.0,Female,Korean,Resort,1200,Flight,150
"Cape Town, South Africa",10,29.0,Male,British,Airbnb,1200,Flight,100
Sydney,13,37.0,Male,American,Hostel,8000,Car rental,600
Bangkok,10,28.0,Male,Canadian,Villa,2500,Car rental,800
"New York, USA",13,24.0,Male,South African,Hotel,4000,Plane,700
New York,10,33.0,Male,Japan,Villa,1000,Train,300
"Bangkok, Thai",8,45.0,Female,Canada,Resort,1000,Plane,600
Rome,7,29.0,Male,Brazilian,Hotel,1500,Flight,2500
"Berlin, Germany",7,31.0,Female,South Korea,Hotel,1400,Plane,150
Rio de Janeiro,8,27.0,Male,American,Airbnb,900,Bus,150
New York,12,31.0,Female,Mexican,Airbnb,6000,Train,700
London,8,35.0,Male,Australian,Hostel,900,Flight,120
Greece,8,39.0,Female,Indian,Airbnb,800,Bus,150
"Vancouver, Canada",11,31.0,Male,Chinese,Resort,350,Plane,2500
"Cancun, Mexico",8,25.0,Female,American,Hotel,900,Plane,2500
Dubai,8,31.0,Male,Taiwan,Hotel,180,Plane,1500
"Rome, Italy",12,30.0,Male,American,Hotel,400,Airplane,150
"Sydney, Australia",8,45.0,Male,Canada,Hotel,900,Plane,400
Brazil,8,25.0,Female,Indian,Riad,1500,Car rental,150
"Auckland, New Zealand",13,39.0,Male,British,Hostel,1500,Train,800
Sydney,7,29.0,Male,Greece,Hotel,600,Plane,50
"Tokyo, Japan",10,26.0,Female,Scottish,Resort,900,Bus,800
"Tokyo, Japan",13,45.0,Female,Emirati,Hotel,2000,Plane,300
"Rio de Janeiro, Brazil",8,27.0,Male,Emirati,Hotel,1100,Plane,700
"Sydney, Australia",9,33.0,Female,Canadian,Villa,800,Flight,700
Canada,8,35.0,Male,Vietnamese,Vacation rental,1000,Bus,300
Rome,11,30.0,Female,British,Hotel,3000,Car,700
"Paris, France",7,31.0,Male,United Arab Emirates,Hostel,1500,Plane,50
Thailand,12,33.0,Male,South African,Hotel,800,Flight,200
Paris,7,38.0,Female,United Arab Emirates,Airbnb,500,Plane,800
Cape Town,7,31.0,Female,Australian,Resort,180,Train,200
Hawaii,7,24.0,Female,Canadian,Airbnb,2000,Plane,500
"Cape Town, SA",11,35.0,Female,Korean,Villa,1400,Plane,2500
Rome,7,33.0,Female,Canadian,Villa,900,Plane,800
Sydney,8,28.0,Female,Moroccan,Hotel,400,Bus,150
Egypt,7,41.0,Male,Chinese,Airbnb,150,Plane,150
"Bali, Indonesia",12,45.0,Female,Emirati,Hotel,4000,Bus,700
Dubai,8,31.0,Male,Italian,Airbnb,180,Train,100
Bali,7,48.0,Male,Korean,Resort,6000,Train,1200
Mexico,8,28.0,Female,Spanish,Hotel,1500,Plane,200
"Sydney, Aus",13,29.0,Male,Spanish,Airbnb,1500,Train,600
"Barcelona, Spain",8,42.0,Male,Singapore,Hotel,8000,Car,150
Italy,6,42.0,Male,Australian,Hotel,3000,Car rental,1000
Bali,12,26.0,Male,British,Guesthouse,800,Plane,300
"Bali, Indonesia",8,42.0,Female,Korean,Hotel,1100,Train,2500
"Tokyo, Japan",7,27.0,Male,Spanish,Airbnb,800,Airplane,800
"Bali, Indonesia",12,37.0,Female,British,Hotel,900,Plane,400
"Amsterdam, Netherlands",9,37.0,Female,Korean,Hotel,1500,Plane,400
Bangkok,7,45.0,Male,Australian,Hotel,400,Car rental,1500
Sydney,7,24.0,Female,Cambodia,Hotel,800,Train,800
"London, UK",8,42.0,Female,American,Hostel,1200,Flight,500
"Cancun, Mexico",13,50.0,Female,South African,Hostel,2000,Plane,2000
"Edinburgh, Scotland",7,27.0,Male,Brazil,Hotel,1000,Plane,800
"Marrakech, Morocco",7,42.0,Female,Korean,Vacation rental,900,Plane,600
"Dubai, United Arab Emirates",7,31.0,Female,South Korean,Riad,7000,Flight,1000
"Bangkok, Thailand",8,35.0,Male,Spanish,Hotel,1200,Plane,100
"Vancouver, Canada",8,39.0,Female,American,Airbnb,900,Airplane,700
"Cancun, Mexico",10,26.0,Female,American,Hotel,700,Car rental,700
Japan,8,45.0,Male,British,Resort,5000,Plane,200
"Amsterdam, Netherlands",7,34.0,Female,British,Airbnb,1400,Flight,200
Paris,11,28.0,Female,American,Hostel,6000,Flight,100
"Vancouver, Canada",10,27.0,Female,British,Hotel,1200,Plane,600
"London, UK",12,37.0,Male,Korean,Hostel,2200,Airplane,50
Paris,12,28.0,Female,United Arab Emirates,Resort,800,Plane,150
Bangkok,8,31.0,Female,British,Hotel,150,Train,2500
"Paris, France",10,29.0,Male,Italian,Hotel,900,Train,800
Sydney,7,45.0,Female,Korean,Hotel,1500,Plane,500
Phnom Penh,9,26.0,Male,American,Airbnb,1500,Train,1000
"Seoul, South Korea",8,35.0,Male,Germany,Guesthouse,1100,Plane,1200
"Amsterdam, Netherlands",12,33.0,Male,Brazil,Hotel,200,Train,100
Amsterdam,8,31.0,Female,American,Hotel,400,Plane,100
"Vancouver, Canada",11,26.0,Male,Korean,Riad,1000,Train,2500
Sydney,8,31.0,Male,Australian,Hotel,6000,Plane,700
"Rome, Italy",8,42.0,Male,Greece,Guesthouse,2500,Flight,200
"Athens, Greece",7,27.0,Female,South African,Riad,3000,Bus,200
Canada,7,35.0,Male,Korean,Hotel,700,Plane,300
"Barcelona, Spain",7,25.0,Female,Australian,Hostel,1300,Plane,400
New York,14,28.0,Female,American,Villa,1000,Train,1200
Paris,8,35.0,Male,American,Airbnb,900,Train,1500
Italy,14,37.0,Female,Australian,Airbnb,6000,Plane,150
"Cancun, Mexico",14,27.0,Male,Spanish,Resort,7000,Plane,100
Bali,13,27.0,Female,Korean,Hostel,1100,Train,800
"Paris, France",8,33.0,Female,Canadian,Resort,700,Car rental,1200
Bangkok,8,28.0,Female,American,Airbnb,1200,Car rental,100
Dubai,8,40.0,Female,American,Hotel,1100,Train,800
Bali,9,31.0,Male,South Korean,Hotel,800,Plane,300
Rome,7,31.0,Male,Canadian,Resort,800,Plane,400
"London, UK",8,38.0,Female,South Korean,Hostel,700,Flight,800
"Barcelona, Spain",13,33.0,Female,Moroccan,Airbnb,900,Plane,500
Paris,13,25.0,Female,Germany,Hostel,400,Train,700
"Sydney, Aus",13,33.0,Male,American,Airbnb,200,Subway,600
"Auckland, New Zealand",7,31.0,Female,Korean,Airbnb,8000,Train,3000
"Cancun, Mexico",7,45.0,Male,American,Airbnb,500,Car rental,300
"Sydney, Aus",12,28.0,Female,Korean,Hostel,7000,Train,700
"New York, USA",7,29.0,Female,Australian,Airbnb,1000,Airplane,250
"Berlin, Germany",8,34.0,Female,Canadian,Airbnb,600,Train,700
"Cape Town, SA",9,28.0,Male,Australian,Resort,700,Train,700
Bali,8,39.0,Male,Korean,Hostel,2500,Train,2500
Rome,13,35.0,Female,Taiwan,Hotel,150,Plane,600
"Cape Town, SA",14,35.0,Male,South African,Airbnb,6000,Airplane,800
Bali,7,27.0,Male,Canadian,Hostel,400,Car rental,1000
"Rio de Janeiro, Brazil",7,25.0,Male,British,Hostel,900,Train,2500
Australia,8,27.0,Male,American,Airbnb,800,Flight,1200
"Barcelona, Spain",8,28.0,Male,Taiwan,Airbnb,800,Plane,600
"New York, USA",8,33.0,Female,British,Hostel,800,Plane,400
New York,8,33.0,Male,Mexican,Hostel,150,Train,1000
Tokyo,10,29.0,Female,British,Villa,350,Plane,300
"Tokyo, Japan",10,27.0,Male,Australian,Resort,400,Train,500
"Marrakech, Morocco",11,27.0,Male,Spanish,Hotel,1500,Plane,400
"Bali, Indonesia",7,25.0,Female,Australian,Hostel,800,Flight,800
"Cancun, Mexico",7,42.0,Female,American,Hotel,1000,Plane,100
Santorini,8,29.0,Female,Chinese,Villa,1500,Train,900
Rome,9,27.0,Female,American,Vacation rental,400,Plane,300
London,12,27.0,Male,South Korean,Resort,700,Train,1200
Tokyo,7,31.0,Male,Moroccan,Hostel,1000,Car rental,400
Santorini,12,29.0,Male,British,Hotel,1200,Bus,1000
London,7,31.0,Female,British,Hotel,900,Plane,400
"Amsterdam, Netherlands",7,42.0,Female,Australian,Hotel,400,Plane,2500
Thailand,7,39.0,Male,USA,Resort,1000,Train,200
New York,8,30.0,Male,American,Airbnb,1500,Flight,300
Santorini,13,34.0,Female,Vietnamese,Hotel,800,Car rental,300
Dubai,11,48.0,Female,British,Hostel,600,Plane,700
Bangkok,8,29.0,Female,American,Airbnb,150,Plane,800
Tokyo,7,27.0,Male,Chinese,Hotel,5000,Train,200
"Barcelona, Spain",8,42.0,Female,British,Hostel,1200,Train,500
"Cancun, Mexico",11,30.0,Male,Brazilian,Resort,2200,Plane,3000
Paris,7,45.0,Female,Indian,Hotel,600,Plane,600
"Vancouver, Canada",8,24.0,Female,Australian,Airbnb,350,Train,800
"Honolulu, Hawaii",12,27.0,Female,South Korean,Resort,1200,Car rental,150
"New York City, USA",8,31.0,Male,American,Hotel,500,Car,800
"London, UK",7,31.0,Female,American,Hotel,1000,Train,700
"Bangkok, Thailand",13,27.0,Male,American,Airbnb,800,Plane,150
Bali,10,35.0,Female,American,Hotel,400,Flight,1500
"Cancun, Mexico",8,28.0,Female,Australian,Hotel,1200,Plane,500
"Athens, Greece",9,45.0,Female,German,Hostel,1800,Plane,250
Rome,8,47.0,Male,Dutch,Airbnb,1200,Ferry,2000
"Sydney, Australia",8,39.0,Male,Canadian,Hotel,1000,Airplane,100
"Sydney, Aus",7,26.0,Male,Korean,Vacation rental,2200,Train,200
Bangkok,8,23.0,Female,Indian,Hotel,900,Plane,2500
"Cancun, Mexico",8,24.0,Female,British,Airbnb,700,Plane,80
"Rio de Janeiro, Brazil",7,33.0,Male,Dutch,Guesthouse,1000,Train,600
"Rome, Italy",7,28.0,Female,Australian,Hotel,150,Plane,700
Egypt,8,30.0,Male,Canadian,Hotel,400,Plane,1000
"New York, USA",8,27.0,Female,Emirati,Villa,1200,Plane,800
New York,9,27.0,Female,Australian,Airbnb,300,Plane,100
Rome,11,30.0,Female,Taiwan,Vacation rental,900,Flight,400
Paris,8,28.0,Male,Japan,Resort,1200,Bus,150
Paris,12,31.0,Female,American,Hotel,800,Plane,700
New York,8,28.0,Male,British,Hotel,1200,Plane,400
Barcelona,8,28.0,Female,Chinese,Hotel,400,Car rental,300
Japan,8,26.0,Male,American,Hotel,600,Plane,200
"Rome, Italy",7,31.0,Male,British,Resort,700,Plane,1000
"Amsterdam, Netherlands",12,45.0,Female,Korean,Hostel,1200,Plane,400
"Amsterdam, Netherlands",7,33.0,Male,Greece,Guesthouse,3000,Train,1000
Italy,9,28.0,Female,South Korean,Hotel,1200,Plane,800
"London, UK",7,37.0,Female,Indian,Airbnb,800,Plane,600
"Cancun, Mexico",12,31.0,Female,Germany,Hostel,700,Plane,800
"Auckland, New Zealand",12,27.0,Female,Korean,Resort,900,Plane,50
Cape Town,8,45.0,Male,South Korean,Airbnb,800,Ferry,20
Paris,8,33.0,Male,Indonesian,Hotel,150,Car,800
Bangkok,7,24.0,Female,Korean,Vacation rental,1000,Car,300
"Sydney, Aus",7,28.0,Male,American,Hotel,600,Flight,800
"London, UK",13,32.0,Female,American,Hotel,900,Plane,1200
Bali,8,25.0,Female,Japanese,Airbnb,7000,Train,400
"Paris, France",8,30.0,Female,British,Hostel,700,Plane,2500
Dubai,8,35.0,Female,British,Hotel,1000,Train,400
"Bangkok, Thai",11,39.0,Male,Korean,Resort,800,Car rental,150
Italy,8,29.0,Female,USA,Hotel,500,Train,3000
"Tokyo, Japan",7,31.0,Female,Dutch,Vacation rental,1200,Train,300
"Barcelona, Spain",11,47.0,Male,South Korean,Villa,900,Flight,1500
Mexico,7,48.0,Male,South African,Airbnb,800,Plane,300
"London, UK",12,27.0,Male,British,Hotel,400,Plane,700
"Sydney, Aus",8,26.0,Female,Indian,Resort,1500,Plane,150
"Auckland, New Zealand",13,33.0,Female,Chinese,Hotel,2500,Car rental,700
"Vancouver, Canada",8,30.0,Male,American,Hotel,900,Plane,200
"Bangkok, Thai",14,33.0,Female,Mexican,Airbnb,600,Plane,600
"London, UK",7,29.0,Female,Chinese,Hotel,1400,Car,300
"Vancouver, Canada",8,33.0,Male,American,Guesthouse,300,Plane,700
Paris,13,39.0,Male,Spanish,Hotel,5000,Flight,1000
Tokyo,7,31.0,Female,Moroccan,Hotel,2000,Plane,250
"Phuket, Thailand",8,27.0,Female,Indian,Villa,1500,Train,800
